2.94,2.77,94.33,2.96,100.94,6.61
2.52,2.08,82.30,2.26,89.47,7.17
82,75,91.96,76,93.43,1
3.50,1.63,46.48,1.83,52.44,5.96
6.21,4.71,75.78,5.32,85.66,9.88
98,,,,,
1.92,1.72,89.49,2.52,131.70,42.21
,20,,20,,
,23-07-07,,,,
