3.37,2.77,82.24,2.88,85.41,3.17
2.50,1.46,58.21,1.52,60.65,2.45
73,52.0,72.07,53,72.31,0
2.56,0.72,28.00,0.74,28.84,0.84
7.15,5.33,74.61,5.61,78.46,3.85
99,,,,,
2.63,2.39,90.89,2.09,79.50,-11.39
,1.0,,21,,
,22-09-26,,,,
